title,country,genre,director,year
Блокада (киноэпопея),СССР,киноэпопея,Михаил Ершов,"
1973—1977"
"Блокада (фильм, 2005)",Россия,документальный,Сергей Лозница,2005
Блок ада 13,США,боевик,,2000
Блогер (фильм),Россия,Уроуд-муви,,2012
Блиц (фильм),США,,Стив Маккуин,
Блистающий мир (фильм),СССР,кинофантастика,Булат Мансуров,1984
"Близость (фильм, 2008)",Великобритания,драма,Тим Файвел,2008
Блики в золотом глазу (фильм),США,драма,Джон Хьюстон,1967
Близорукий школьный учитель,США,немое кино,,[1]
"Близость (фильм, 2004)",США,драма,Майк Николс,2004
Близнецы-убийцы,США,фильм ужасов,Жозе Антонио Негрет,2011
"Бобби (фильм, 1973)",Индия,комедия,Радж Капур,1973
Боб Робертс,США,политическая сатира,Тим Роббинс,1992
Боба и слон,СССР,"детский фильм,",Аугуст Балтрушайтис,1972
Боб Марли: Одна любовь,США,байопик,,2024
Большая драка,США,боевик,Роберт Клауз,1980
"Божья земля (фильм, 2017)",Великобритания,драма,,2017
Большая дорога (фильм),СССР,комедия,Юрий Озеров,1962
Большая гонка. Лянча против Ауди,Италия,исторический фильм,Стефано Мордини,2024
Большая голубая дорога,Италия,драма,Джилло Понтекорво,1957
Большая вода (фильм),Северная Македония,драма,,2004
Большая боль,Австралия,детектив,Бэрри Пик,1985
Большая война,Италия,комедия,Марио Моничелли,1959
Большая белая обуза,США,драма,Марк Майлод,2005
Большая белая надежда,США,драма,Мартин Ритт,1970
Большая белая башня,Япония,социальная драма,Сацуо Ямамото,1966
Большая афера,Канада,комедийный фильм,Дон МакКеллар,2013
Большая Америка,США,документальный,Майкл Мур,1997
Большая автокража,США,Комедия,Рон Ховард,1977
Больная любовь,Румыния,Мелодрама,Тудор Джурджу,2006
Больвизер,ФРГ,драма,Райнер Вернер Фассбиндер,1977
Больница (фильм),США,сатира,Артур Хиллер,1971
Боль чужих сердец,Италия,драматический фильм,Ферзан Озпетек,2005
"Боль (фильм, 2017)",Франция,историко,Эмманюэль Финкель,2017
Боль и слава,Испания,драма,Педро Альмодовар,2019
"Боль (фильм, 2009)",США,триллер,Барбара Степански,2009
"Боль (фильм, 1987)",Испания,триллер,Бигас Луна,1987
"Болото (фильм, 2005)",США,фильм ужасов,Джим Гиллеспи,2005
"Болотная street, или Средство против секса",СССР,комедия,Марк Айзенберг,1991
Болотные солдаты (фильм),СССР,социальная ,Александр Мачерет,1938
